# Simulation 6 (Up to date)
# 8135 data points written for 57 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Forward end of airframe is open (radius is > 0):  "Transition"
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s),Corrective moment coefficient (),Damping moment coefficient (​),damping ratio ()
0.01,0.002,0.422,1.311,0.422,1.311,0,0,0,0,0,0,28.61,-80.6,0.998,86.756,0,0,0,4052.907,2758.577,0.906,0.002,NaN,45.178,NaN,0.007,2.705e5,91.78,2.838e-6,0.877,3.867e-4,0.755,0.066,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.678e-6,2.205,24.63,90,0,7.44,11.038,942.363,1108.883,0.01,0.001,5.29e4,NaN,NaN
0.02,0.016,2.33,5.931,2.33,5.931,0,0,0,0,0,0,28.61,-80.6,0.998,72.594,0,0,0,4051.591,2757.261,0.905,0.002,NaN,45.174,NaN,0.007,2.827e5,275.321,4.033e-4,0.869,0.05,0.747,0.066,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.27e-6,2.205,24.63,90,0,7.431,11.038,942.363,1108.883,0.01,0.002,5.29e4,NaN,NaN
0.03,0.056,5.725,10.554,5.725,10.554,0,0,0,0,0,0,28.61,-80.6,0.998,52.356,0,0,0,4050.275,2755.944,0.905,0.002,NaN,45.169,NaN,0.008,3.402e5,458.861,0.004,0.839,0.367,0.717,0.066,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.278e-5,2.205,24.63,90,0,7.422,11.037,942.361,1108.883,0.01,0.003,5.29e4,0.156,NaN
0.04,0.134,9.876,12.909,9.876,12.909,0,0,0,0,0,0,28.61,-80.6,0.998,36.891,0,0,0,4047.622,2753.292,0.905,0.002,NaN,45.16,NaN,0.011,4.482e5,552.032,0.015,0.797,0.725,0.675,0.067,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.93e-5,2.205,24.63,90,0,7.413,11.037,942.359,1108.883,0.01,0.003,5.29e4,0.037,NaN
0.05,0.254,14.054,12.988,14.054,12.988,0,0,0,0,0,0,28.61,-80.6,0.998,27.782,0,0,0,4044.97,2750.639,0.904,0.002,NaN,45.151,NaN,0.014,5.766e5,554.834,0.03,0.762,0.885,0.64,0.067,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.593e-5,2.205,24.63,90,0,7.404,11.037,942.355,1108.882,0.01,0.004,5.29e4,0.095,NaN
0.06,0.415,18.257,13.067,18.257,13.067,0,0,0,0,0,0,28.61,-80.6,0.998,21.914,0,0,0,4042.317,2747.987,0.904,0.002,NaN,45.141,NaN,0.018,7.143e5,557.637,0.048,0.74,0.939,0.618,0.067,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.265e-5,2.205,24.63,90,0,7.344,11.037,942.349,1108.882,0.01,0.004,5.29e4,0.154,NaN
0.07,0.619,22.485,13.147,22.485,13.147,0,0,0,0,0,0,28.61,-80.6,0.998,17.951,0,0,0,4039.624,2745.294,0.904,0.002,NaN,45.132,NaN,0.021,8.579e5,560.441,0.069,0.724,0.94,0.602,0.067,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.948e-5,2.205,24.63,90,0,7.285,11.036,942.342,1108.881,0.01,0.005,5.29e4,0.209,NaN
0.08,0.865,26.739,13.227,26.739,13.227,0,0,0,0,0,0,28.61,-80.6,0.998,15.12,0,0,0,4036.932,2742.601,0.903,0.002,NaN,45.123,NaN,0.025,1.005e6,563.248,0.093,0.711,0.916,0.588,0.067,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.064e-4,2.205,24.63,90,0,7.225,11.036,942.334,1108.88,0.01,0.006,5.29e4,0.27,NaN
0.09,1.154,31.019,13.307,31.019,13.307,0,0,0,0,0,0,28.61,-80.6,0.998,13.007,0,0,0,4034.239,2739.909,0.903,0.002,NaN,45.113,NaN,0.029,1.156e6,566.055,0.118,0.699,0.88,0.577,0.067,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.234e-4,2.205,24.63,90,0,7.165,11.035,942.324,1108.879,0.01,0.006,5.29e4,0.332,NaN
0.1,1.486,35.325,13.387,35.325,13.387,0,0,0,0,0,0,28.61,-80.6,0.998,11.373,0,0,0,4031.506,2737.176,0.902,0.002,NaN,45.104,NaN,0.032,1.308e6,568.863,0.145,0.69,0.843,0.567,0.067,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.406e-4,2.205,24.63,90,0,7.106,11.035,942.313,1108.878,0.01,0.007,5.29e4,0.39,NaN
