# Simulation 6 (Up to date)
# 3268 data points written for 4 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (538 ft/s)
#   Forward end of airframe is open (radius is > 0):  "Transition"
#
# Time (s),Longitudinal moment of inertia (kg·m²),Corrective moment coefficient (),Damping moment coefficient (​)
0.01,1.253,5.29e4,NaN
0.02,1.252,5.29e4,NaN
0.03,1.252,5.29e4,0.136
0.04,1.251,5.29e4,-0.016
0.05,1.251,5.29e4,0.045
0.06,1.25,5.29e4,0.107
0.07,1.25,5.29e4,0.163
0.08,1.249,5.29e4,0.227
0.09,1.249,5.29e4,0.292
0.1,1.248,5.29e4,0.346
0.11,1.248,5.29e4,0.408
0.12,1.247,5.29e4,0.471
0.13,1.247,5.29e4,0.527
0.14,1.246,5.29e4,0.591
0.15,1.245,5.291e4,0.657
0.16,1.245,5.291e4,0.716
0.17,1.244,5.291e4,0.779
0.179,1.244,5.291e4,0.839
0.188,1.243,5.291e4,0.922
0.201,1.242,5.291e4,1.057
0.221,1.241,5.292e4,1.259
0.251,1.24,5.292e4,1.585
0.295,1.237,5.294e4,1.939
0.345,1.234,5.295e4,2.315
0.395,1.23,5.297e4,2.698
0.445,1.227,5.299e4,3.085
0.495,1.223,5.302e4,3.478
0.545,1.22,5.304e4,3.889
0.595,1.216,5.307e4,4.32
0.645,1.212,5.311e4,4.844
0.695,1.208,5.315e4,5.367
0.745,1.204,5.319e4,5.906
0.795,1.199,5.324e4,6.453
0.845,1.195,5.328e4,6.982
0.895,1.19,5.334e4,7.472
0.945,1.186,5.34e4,7.964
0.995,1.181,5.346e4,8.566
1.045,1.177,5.352e4,9.156
1.095,1.173,5.359e4,9.705
1.145,1.168,5.366e4,10.231
1.195,1.164,5.374e4,10.739
1.245,1.159,5.382e4,11.414
1.295,1.154,5.39e4,11.999
1.341,1.15,5.398e4,12.405
1.378,1.146,5.405e4,12.995
1.428,1.142,5.415e4,13.707
1.478,1.137,5.424e4,14.222
1.516,1.133,5.432e4,14.731
1.558,1.128,5.441e4,15.478
1.608,1.123,5.452e4,16.117
1.651,1.119,5.462e4,16.651
1.69,1.115,5.471e4,17.45
1.74,1.109,5.483e4,18.091
1.78,1.105,5.493e4,18.699
1.82,1.1,5.503e4,19.571
1.87,1.095,5.516e4,20.225
1.909,1.09,5.527e4,21.104
1.959,1.084,5.541e4,21.951
2.009,1.078,5.555e4,22.846
2.059,1.072,5.57e4,23.656
2.107,1.066,5.585e4,24.494
