Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,9.8,0,0,48.3,54.44435,2.857836,0,0,0,0,0,0,85,85,0,0
0.09999999,B,0.09999999,0.03044062,0,1.046296,0,131.4723,9.755943,0.0336432,0,48.14948,54.44435,2.927844,401.428201856294,399.64649183608,37.7793966163022,39.3108114686365,34.94323,3.338625,85,85,1.56224,0.1507527
0.2,B,0.2,0.06418986,0,0.9187589,0,137.808,9.694652,0.1313379,0,47.99897,54.44435,2.997852,424.870463250483,423.000086716696,39.8225712422913,79.2746834437505,76.19003,7.228739,85,85,7.099624,0.6774342
0.3,B,0.3,0.1009605,7.243721,0.8539745,0,144.1575,9.630392,0.3018967,0,47.84845,54.44435,3.06786,448.561839346033,446.6018,41.88742,122.574330511405,119.7863,11.3244,85,84.5994,16.90129,1.603387
0.3999999,B,0.3999999,0.1399273,5.013494,1.045322,2.445333,150.5001,9.563165,0.7094897,1.756342,47.69793,53.0687,2.498029,471.922823608849,470.249,39.71183,168.403396794987,165.7396,15.16436,84.8091,84.77227,31.38769,2.925862
0.4999998,B,0.4999998,0.1810637,3.297809,0.8817927,1.570902,156.8146,9.492981,1.001448,1.868419,47.54742,53.49545,2.766529,496.028364857414,493.8586,46.3446,216.769576578359,214.0659,19.45975,84.23906,84.80578,50.60014,4.651403
0.5999997,B,0.5999997,0.2243514,1.80409,0.7901888,0.8564855,163.0795,9.41986,1.376632,1.551835,47.3969,53.89255,3.021234,520.232548507091,516.9816,58.06832,267.639806011669,264.7287,24.69726,83.34574,84.67014,74.77412,6.849364
0.6999996,B,0.6999996,0.2697663,0.5447704,0.7462777,0.2807484,169.2701,9.343834,1.877825,0.7310213,47.24638,54.25285,3.258822,544.420080868708,539.3685,73.9922,320.981437284791,317.6645,31.35552,82.30071,84.3628,104.14,9.638696
0.7999995,B,0.7999995,0.3172697,-0.2976937,0.7336664,-0.1011989,175.3659,9.264944,2.55035,-0.3626437,47.09587,54.37402,3.385186,568.408103831754,561.156,90.5081,376.743922654216,372.8029,39.68054,81.40765,83.92441,138.9211,13.17688
0.8999994,B,0.8999994,0.3668138,-0.5449522,0.7332115,-0.2339449,181.3446,9.183245,3.402054,-1.115644,46.94535,54.28407,3.413356,591.904797004924,583.076,101.8512,434.867559899774,430.1186,49.422,80.97976,83.44527,179.3357,17.62292
0.9999993,B,0.9999993,0.4183541,-0.2705159,0.7367113,-0.1326143,187.1785,9.098801,4.439055,-0.8192691,46.79483,54.35249,3.515188,614.563543654275,605.7291,103.8297,495.295119358298,489.6654,59.7951,81.08257,83.03784,225.6039,23.08258
1.099999,B,1.099999,0.4718351,0.1269221,0.7421187,0.04078946,192.8491,9.011685,5.67738,0.3192911,46.64431,54.4158,3.614645,636.433072028452,628.5914,99.59873,557.955951008215,551.5005,69.95885,81.40282,82.77054,277.9526,29.57399
1.199999,B,1.199999,0.5271919,0.2036932,0.7497408,0.09101792,198.3341,8.921987,7.145479,0.8860683,46.4938,54.38098,3.668457,657.58164535981,650.0136,99.47834,622.768215086162,615.5557,79.83624,81.47523,82.61012,336.6081,37.06355
1.299999,B,1.299999,0.5843583,-0.01674612,0.7579719,0.002608542,203.6045,8.829799,8.854814,0.03108161,46.34328,54.44251,3.767084,677.855259720989,669.137,108.3671,689.648536469156,681.6251,90.22198,81.23491,82.45998,401.7818,45.5587
1.399999,B,1.399999,0.6432525,-0.09568069,0.7679174,-0.04317893,208.645,8.73523,10.84234,-0.6210077,46.19276,54.41411,3.82388,696.873350801091,687.1705,115.8843,758.491218551745,749.5353,101.5443,81.09087,82.28475,473.6645,55.14103
1.499999,B,1.499999,0.7037452,0.04458638,0.7816566,0.01357167,213.4347,8.638401,13.17225,0.2326967,46.04225,54.43481,3.903515,714.101353655474,704.8667,114.4713,829.135061042592,819.2316,113.0975,81.18014,82.13982,552.4368,65.87473
1.599999,B,1.599999,0.7657467,0.03316912,0.7789969,0.01851985,217.9447,8.539435,15.49431,0.3744085,45.89173,54.43134,3.971908,730.979438641512,721.5979,116.7365,901.481960028978,890.6615,124.5845,81.14694,82.03721,638.2748,77.75658
1.699999,B,1.699999,0.8291692,-0.03962468,0.7980434,-0.01710267,222.1639,8.438472,18.54875,-0.4036528,45.74121,54.43232,4.042374,744.630200369828,734.3109,123.538,975.393560353211,963.5805,136.6747,81.03414,81.92699,731.3414,90.81384
1.799999,B,1.799999,0.8935912,0.02765904,0.8433633,0.009560991,226.0744,8.335657,22.68347,0.2608851,45.5907,54.43761,4.114841,753.279192966678,743.3062,122.1697,1050.35431947882,1037.525,148.9945,81.0634,81.82787,831.759,105.0989
1.899999,B,1.899999,0.9585163,-0.007455077,0.9475405,-0.000544722,229.6486,8.231146,29.20831,-0.0170178,45.44018,55.40393,4.634301,751.745101174833,741.457,123.9444,1125.7262254531,1111.895,161.2534,81.00177,81.74817,939.6049,120.6096
1.999998,B,1.999998,1.023004,0.007619931,1.069986,0.0009948328,232.8809,8.1251,37.41205,0.03521849,45.28967,56.46152,5.19621,742.287830879134,732.023,123.0185,1200.42780822676,1185.558,173.6891,80.98003,81.66522,1054.854,137.358
2.099998,B,2.099998,1.086693,-0.005715606,1.135455,-0.0007307537,235.7568,8.01769,44.59732,-0.02903601,45.13915,56.70972,5.381663,735.376796896842,725.0399,122.8665,1274.14037488141,1258.258,185.8805,80.93823,81.59656,1177.413,155.3359
2.199998,B,2.199998,1.150024,0.01042889,1.174091,0.00358859,238.252,7.909091,51.40004,0.1588159,44.98863,56.44499,5.328537,728.37595209343,718.1695,121.5076,1347.34652430667,1330.429,198.1711,80.92131,81.52792,1307.214,174.5402
2.299998,B,2.299998,1.212611,-0.006504384,1.222204,-0.002796345,240.3667,7.799486,59.1881,-0.1367954,44.83812,56.2298,5.298457,715.688505435884,705.2931,121.5388,1419.5347919266,1401.596,210.2915,80.87508,81.46715,1444.182,194.9628
2.399998,B,2.399998,1.274046,0.005498631,1.239415,0.003166644,242.0915,7.689063,65.904,0.1699869,44.6876,56.23144,5.369229,705.514592199991,695.4034,119.0166,1490.31010438196,1471.355,222.266,80.85755,81.40973,1588.186,216.5932
2.499998,B,2.499998,1.335319,0.002643886,1.199665,0.0002077369,243.4067,7.578009,69.68018,0.01217587,44.53708,56.15712,5.404668,705.887741910879,695.5652,120.277,1560.90236020552,1540.92,234.2913,80.82487,81.3546,1739.148,239.42
2.599998,B,2.599998,1.396609,-0.002998515,1.166476,-0.0009870892,244.3189,7.466521,73.67767,-0.06288841,44.38657,55.99409,5.39885,703.61709672989,693.1882,120.6944,1631.38273812318,1610.375,246.2936,80.79215,81.30446,1897.062,263.4485
2.699998,B,2.699998,1.4577,0.002978765,1.138021,0.001731928,244.8247,7.354793,77.82209,0.1194146,44.23605,55.78599,5.372066,698.85678733855,688.571,119.4604,1701.49778541703,1679.459,258.2992,80.77119,81.25647,2061.903,288.6795
2.799998,B,2.799998,1.512125,0.003158733,1.115644,0.0008294422,162.6897,7.248807,81.56423,0.06086701,44.08553,55.57911,5.345851,328.429835868535,322.795,60.57677,1760.09621016793,1737.166,268.5136,80.74454,81.21333,2233.394,315.08
2.899998,B,2.899998,1.541107,-0.001171928,1.10468,-0.0006413371,162.764,7.175673,83.32966,-0.04855373,43.93502,55.4633,5.361994,324.539519724736,318.8186,60.66795,1792.72370016717,1769.239,274.5559,80.71454,81.17902,2408.877,342.233
2.999998,B,2.999998,1.569767,0.0001999141,1.094414,0.0004874673,162.6378,7.102662,85.0708,0.03802479,43.7845,55.34631,5.377584,319.733124999738,314.1163,59.66759,1824.91034101105,1800.874,280.5428,80.69064,81.14555,2587.545,369.9889
3.099998,B,3.099998,1.585079,0.002982915,1.089148,0.001199147,96.15673,7.043852,85.72135,0.0943951,43.63398,55.28241,5.417871,17.7589214237633,14.44595,10.32927,1838.5725518531,1814.223,283.5647,80.66779,81.11649,2768.715,398.2519
3.199997,B,3.199997,1.587454,0.001141672,1.088344,0.000134222,96.08681,7.002309,85.31338,0.01052346,43.48347,55.27342,5.4837,19.6002090362552,16.19032,11.04725,1840.2705376394,1815.765,284.6511,80.64037,81.09045,2950.221,426.662
3.299997,B,3.299997,1.589976,-0.0005712046,1.087495,-0.0001484236,95.93504,6.960937,84.91557,-0.01159187,43.33295,55.26293,5.548829,20.9581997435467,17.58102,11.4085,1842.13021284084,1817.468,285.7527,80.61346,81.06477,3131.89,455.1817
3.399997,B,3.399997,1.592611,0.001316413,1.086611,0.0007592401,66.57799,6.919773,84.52474,0.05898564,43.18243,55.25147,5.613507,-115.454003962964,-114.9408,-10.8738,1842.75688481611,1817.953,286.6601,80.58997,81.03922,3313.723,483.8126
3.499997,S,0.06999999,1.570277,0.03357473,0.6080183,0.003262907,0,3.2,24.49975,0.1310749,21.86,32.42165,6.705812,-278.136110795223,-275.3253,-39.44205,1814.20961740184,1790.029,280.5464,80.6685,81.09265,3493.948,512.1287
3.599997,S,0.17,1.547411,-0.0358,0.6123649,-0.006626279,0,3.2,23.79379,-0.2566887,21.86,32.43699,6.715546,-271.119468809071,-268.9158,-34.49723,1786.79384921569,1762.915,276.4708,80.58659,81.08714,3671.455,539.9723
3.699997,S,0.27,1.525113,0.02462588,0.6167107,0.008226476,0,3.2,23.11568,0.3074229,21.86,32.45388,6.72627,-264.200987326335,-261.2855,-39.1414,1760.07411510224,1736.426,272.8811,80.62181,81.06895,3846.283,567.447
3.799997,S,0.3699999,1.503357,0.01944915,0.6210501,0.004333151,0,3.2,22.46374,0.156268,21.86,32.47651,6.740643,-257.660677466155,-255.0361,-36.68259,1734.02391381323,1710.606,269.3477,80.59244,81.05182,4018.5,594.5569
3.899997,S,0.4699998,1.482121,0.007868393,0.6253904,0.002969061,0,3.2,21.8368,0.1033666,21.86,32.49585,6.752917,-251.364483920657,-248.8829,-35.23359,1708.61186882405,1685.426,265.854,80.55813,81.03619,4188.171,621.3154
3.999997,S,0.5699998,1.461388,-0.0024349,0.6297271,-0.0002832041,0,3.2,21.23357,-0.009521512,21.86,32.51622,6.765856,-245.320113132943,-243.06,-33.2234,1683.81948732778,1660.856,262.4679,80.52422,81.01971,4355.357,647.7309
4.099997,S,0.6699997,1.441139,0.002747719,0.63406,0.0003214732,0,3.2,20.65276,0.01044096,21.86,32.53317,6.776615,-239.476288626849,-237.2509,-32.57151,1659.62035359458,1636.872,259.1726,80.50533,81.00282,4520.118,673.8124
4.199997,S,0.7699996,1.421355,0.00218645,0.6383881,0.0007084167,0,3.2,20.09328,0.02223384,21.86,32.54939,6.786913,-233.848558070256,-231.6669,-31.86841,1635.99332788154,1613.455,255.9536,80.48064,80.98589,4682.513,699.568
